Model_no,variable,Num_factors,Coef.,Std.Err.,z,P>|z|,Max_pvalue,[0.025,0.975],sign,sign_max,VIF,VIF_max,dev_gini,oot_gini,Relative_diff,Average_precision,var,Gini_train,Trend,sum_gini,Factor_weight,AMT_RECOVERED_0TO30,AMT_RECOVERED_31TO60_12MNTH_AVG_MONTHLY,AVG_CREDIT_TRXNS_CNT_L2MONTH_DAILY,AVG_CREDIT_TRXNS_CNT_L2MONTH_MONTHLY,AVG_CREDIT_TRXNS_CNT_L3MONTH_DAILY,AVG_CREDIT_TRXNS_CNT_L3MONTH_MONTHLY,AVG_TRXNS_AMOUNT_L1MONTH_DAILY,AVG_TRXNS_AMOUNT_L1MONTH_MONTHLY,AVG_TRXNS_AMT_L12MONTH_DAILY,AVG_TRXNS_AMT_L6MONTH_MONTHLY,CREDIT_EXTENDED_12MNTH_AVG_MONTHLY,CREDIT_EXTENDED_3MNTH_AVG_MONTHLY,CREDIT_RECOVERY_RATIO_3_MNTH,CREDIT_RECOVERY_RATIO_3_MNTH_AVG_DAILY,CREDIT_RECOVERY_RATIO_3_MNTH_AVG_MONTHLY,DEBIT_AMNT,D_1_TXNS,FULL_SETTLED_TRXNS_3_BY_6,TOTAL_COUNTERPARTY_TXN_AMT
73539,const,4,-2.495681324847917,0.06795354069597119,-36.72628827412785,2.7800059376714046e-295,0.033025989769165744,-2.6288678172339974,-2.3624948324618362,0,0,,1.3770679392026264,0.2828754901432149,0.2525896934116114,0.10705477812514484,0.11484113753599748,,,,0.6661107425849968,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
73539,D_1_TXNS_woe,4,0.5481109014627876,0.21346186024183897,2.567722874905204,0.010236895846434267,0.033025989769165744,0.12973334331586078,0.9664884596097145,0,0,1.2203750760450882,1.3770679392026264,0.2828754901432149,0.2525896934116114,0.10705477812514484,0.11484113753599748,D_1_TXNS,0.17705596817940705,Decreasing,0.6661107425849968,0.2658056038734647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
73539,CREDIT_RECOVERY_RATIO_3_MNTH_AVG_DAILY_woe,4,0.5691896128017734,0.25423902062956144,2.238797220789763,0.025169113202293803,0.033025989769165744,0.07089028890309712,1.0674889367004496,0,0,1.2765736308866973,1.3770679392026264,0.2828754901432149,0.2525896934116114,0.10705477812514484,0.11484113753599748,CREDIT_RECOVERY_RATIO_3_MNTH_AVG_DAILY,0.1558150703912744,Decreasing,0.6661107425849968,0.23391766628263339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
73539,DEBIT_AMNT_woe,4,0.7035317743815623,0.21354638006216334,3.2945151033548976,0.000985916462724891,0.033025989769165744,0.28498856043081994,1.1220749883323047,0,0,1.0796100183708712,1.3770679392026264,0.2828754901432149,0.2525896934116114,0.10705477812514484,0.11484113753599748,DEBIT_AMNT,0.17430602492128244,Decreasing,0.6661107425849968,0.26167724640627715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
73539,FULL_SETTLED_TRXNS_3_BY_6_woe,4,0.362771819017796,0.17017421975215621,2.1317671945030288,0.033025989769165744,0.033025989769165744,0.02923647720636513,0.6963071608292268,0,0,1.3770679392026264,1.3770679392026264,0.2828754901432149,0.2525896934116114,0.10705477812514484,0.11484113753599748,FULL_SETTLED_TRXNS_3_BY_6,0.1589336790930329,Decreasing,0.6661107425849968,0.2385994834376248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
79275,const,4,-2.495681324847917,0.06795354069597119,-36.72628827412785,2.7800059376714046e-295,0.033025989769165744,-2.6288678172339974,-2.3624948324618362,0,0,,1.3770679392026264,0.2828754901432149,0.2525896934116114,0.10705477812514484,0.11484113753599748,,,,0.6661107425849968,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
79275,D_1_TXNS_woe,4,0.5481109014627876,0.21346186024183897,2.567722874905204,0.010236895846434267,0.033025989769165744,0.12973334331586078,0.9664884596097145,0,0,1.2203750760450882,1.3770679392026264,0.2828754901432149,0.2525896934116114,0.10705477812514484,0.11484113753599748,D_1_TXNS,0.17705596817940705,Decreasing,0.6661107425849968,0.2658056038734647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
79275,CREDIT_RECOVERY_RATIO_3_MNTH_AVG_MONTHLY_woe,4,0.5691896128017734,0.25423902062956144,2.238797220789763,0.025169113202293803,0.033025989769165744,0.07089028890309712,1.0674889367004496,0,0,1.2765736308866973,1.3770679392026264,0.2828754901432149,0.2525896934116114,0.10705477812514484,0.11484113753599748,CREDIT_RECOVERY_RATIO_3_MNTH_AVG_MONTHLY,0.1558150703912744,Decreasing,0.6661107425849968,0.23391766628263339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
79275,DEBIT_AMNT_woe,4,0.7035317743815623,0.21354638006216334,3.2945151033548976,0.000985916462724891,0.033025989769165744,0.28498856043081994,1.1220749883323047,0,0,1.0796100183708712,1.3770679392026264,0.2828754901432149,0.2525896934116114,0.10705477812514484,0.11484113753599748,DEBIT_AMNT,0.17430602492128244,Decreasing,0.6661107425849968,0.26167724640627715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
79275,FULL_SETTLED_TRXNS_3_BY_6_woe,4,0.362771819017796,0.17017421975215621,2.1317671945030288,0.033025989769165744,0.033025989769165744,0.02923647720636513,0.6963071608292268,0,0,1.3770679392026264,1.3770679392026264,0.2828754901432149,0.2525896934116114,0.10705477812514484,0.11484113753599748,FULL_SETTLED_TRXNS_3_BY_6,0.1589336790930329,Decreasing,0.6661107425849968,0.2385994834376248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
