Model_no,variable,Num_factors,Coef.,Std.Err.,z,P>|z|,Max_pvalue,[0.025,0.975],sign,sign_max,VIF,VIF_max,dev_gini,oot_gini,Relative_diff,Average_precision,var,Gini_train,Trend,sum_gini,Factor_weight,ACCOUNT_TYPE_COUNT,AMOUNT_PAST_DUE_SUM,BUREAUSCORE,CREDIT_CARDS_COUNT,DAYS_SINCE_LAST_PAYMENT,MAX_DPD_LAST_12_MONTHS,MAX_DPD_LAST_12_MONTHS_ACTIVE,MAX_DPD_LAST_12_MONTHS_UNSECURED,MAX_DPD_LAST_24_MONTHS,MAX_DPD_LAST_24_MONTHS_ACTIVE,MAX_DPD_LAST_24_MONTHS_SECURED,MAX_DPD_LAST_24_MONTHS_UNSECURED,MAX_DPD_LAST_6_MONTHS,MAX_DPD_LAST_6_MONTHS_UNSECURED,MAX_DPD_LAST_9_MONTHS,MAX_DPD_LAST_9_MONTHS_UNSECURED,NO_OF_TIMES_30_DPD_12MONTHS,NO_OF_TIMES_30_DPD_12MONTHS_ACTIVE,NO_OF_TIMES_30_DPD_6MONTHS,NO_OF_TIMES_30_DPD_9MONTHS,NO_OF_TIMES_60_DPD_12MONTHS,NO_OF_TIMES_60_DPD_12MONTHS_ACTIVE,NO_OF_TIMES_60_DPD_9MONTHS,NO_OF_TIMES_90_DPD_12MONTHS,PAYMENT_WITHOUT_DPD_LAST_6_MONTHS
33934,NO_OF_TIMES_90_DPD_12MONTHS_woe,3,0.5493443192679757,0.26534562909542736,2.070297223816009,0.03842451941138135,0.03842451941138135,0.029276442785814538,1.0694121957501368,0,0,1.7367889499058333,1.7367889499058333,0.11813686896605646,0.10514403292181074,0.11001554652197905,0.23800299134447386,NO_OF_TIMES_90_DPD_12MONTHS,0.07620613728960901,Increasing,0.20069312993580546,0.3797147282220603,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
33934,DAYS_SINCE_LAST_PAYMENT_woe,3,0.6445258226790032,0.2607388847182812,2.471920608908754,0.013438935740783696,0.03842451941138135,0.1334869992620309,1.1555646460959754,0,0,1.0088976671777692,1.7367889499058333,0.11813686896605646,0.10514403292181074,0.11001554652197905,0.23800299134447386,DAYS_SINCE_LAST_PAYMENT,0.06010631466684524,Increasing,0.20069312993580546,0.29949363332003986,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
32159,const,2,-1.3969828246636031,0.04167224089893873,-33.52310301842156,2.2206519416274507e-246,0.0315594604640287,-1.4786589159806,-1.3153067333466062,0,0,,1.2890549366037323,0.11774088777958314,0.08163719274830372,0.30674337324791345,0.22947000092468392,,,,0.1664842640519808,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32159,NO_OF_TIMES_30_DPD_12MONTHS_ACTIVE_woe,2,0.8051621199999566,0.1915590788767663,4.2032052185734985,2.6316179765381634e-05,0.0315594604640287,0.4297132244898272,1.180611015510086,0,0,1.2890549366037323,1.2890549366037323,0.11774088777958314,0.08163719274830372,0.30674337324791345,0.22947000092468392,NO_OF_TIMES_30_DPD_12MONTHS_ACTIVE,0.08706421130412267,Increasing,0.1664842640519808,0.5229576008273005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32159,MAX_DPD_LAST_24_MONTHS_woe,2,0.5333586368639083,0.248079977553972,2.149946328287906,0.0315594604640287,0.0315594604640287,0.04713081557261817,1.0195864581551983,0,0,1.2890549366037323,1.2890549366037323,0.11774088777958314,0.08163719274830372,0.30674337324791345,0.22947000092468392,MAX_DPD_LAST_24_MONTHS,0.07942005274785813,Increasing,0.1664842640519808,0.47704239917269947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34359,const,2,-1.397237101009005,0.041655202064997246,-33.54291977335286,1.141902162038439e-246,5.059492998022359e-05,-1.4788797968251381,-1.3155944051928719,0,0,,1.005907144269416,0.11772972027256157,0.05705149594038472,0.5155329170108482,0.2280042703117055,,,,0.12141267102571685,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34359,ACCOUNT_TYPE_COUNT_woe,2,1.0855121603232902,0.26783844595144096,4.05286162883462,5.059492998022359e-05,5.059492998022359e-05,0.5605584525832881,1.6104658680632924,0,0,1.0059071442694159,1.005907144269416,0.11772972027256157,0.05705149594038472,0.5155329170108482,0.2280042703117055,ACCOUNT_TYPE_COUNT,0.052034998967005475,Decreasing,0.12141267102571685,0.42857964104902824,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34359,MAX_DPD_LAST_24_MONTHS_SECURED_woe,2,1.0586986514010388,0.22248877698419903,4.758436204070764,1.950985328748994e-06,5.059492998022359e-05,0.6226286615476446,1.494768641254433,0,0,1.005907144269416,1.005907144269416,0.11772972027256157,0.05705149594038472,0.5155329170108482,0.2280042703117055,MAX_DPD_LAST_24_MONTHS_SECURED,0.06937767205871137,Increasing,0.12141267102571685,0.5714203589509718,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34486,const,2,-1.382850879085658,0.04189468962703976,-33.00778431338791,6.280653700223947e-239,0.018768582841075663,-1.4649629618981397,-1.3007387962731762,0,0,,1.004587956242381,0.11769435650032656,0.07300077855633424,0.3797245364825175,0.23052882000756902,,,,0.1386646081228724,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34486,NO_OF_TIMES_60_DPD_12MONTHS_woe,2,0.9681710850264295,0.19127794624732067,5.061592849677468,4.157681719990247e-07,0.018768582841075663,0.5932731993448925,1.3430689707079664,0,0,1.0045879562423805,1.004587956242381,0.11769435650032656,0.07300077855633424,0.3797245364825175,0.23052882000756902,NO_OF_TIMES_60_DPD_12MONTHS,0.07855829345602716,Increasing,0.1386646081228724,0.5665345650882718,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
