variable,var,bin,count,count_distr,good,bad,badprob,woe,bin_iv,total_iv,Prop_iv,Max_IV_test,IV_test,breaks,is_special_values,counter,num_bin,Trend,Trend_Business,Gini_train,Gini_oot,Relative_diff,keep
NO_OF_TIMES_60_DPD_6MONTHS,NO_OF_TIMES_60_DPD_6MONTHS_woe,"[1.0,inf)",435,0.11830296437313027,306,129,0.296551724137931,0.5334358237098604,0.03902378927101159,0.04525322610575828,0.8623427019282938,0,0,inf,False,2,2,Increasing,Increasing,0.07315554662154988,0.011411411411411443,0.8434991148926017,0
NO_OF_TIMES_60_DPD_9MONTHS,NO_OF_TIMES_60_DPD_9MONTHS_woe,"[-inf,2.0)",3221,0.8759858580364428,2625,596,0.18503570319776466,-0.08538698665980526,0.006222652957480982,0.043382459279906846,0.14343707251200222,0,0,2.0,False,1,2,Increasing,Increasing,0.07287589363321811,0.024174174174174112,0.668061995322963,1
NO_OF_TIMES_60_DPD_9MONTHS,NO_OF_TIMES_60_DPD_9MONTHS_woe,"[2.0,inf)",456,0.12401414196355724,323,133,0.2916666666666667,0.5099053262996663,0.03715980632242586,0.043382459279906846,0.8565629274879977,0,0,inf,False,2,2,Increasing,Increasing,0.07287589363321811,0.024174174174174112,0.668061995322963,1
MAX_DPD_LAST_6_MONTHS_UNSECURED,MAX_DPD_LAST_6_MONTHS_UNSECURED_woe,"[-inf,1.0)",3304,0.8985586075605113,2687,617,0.18674334140435836,-0.07410306340953444,0.004824147729570325,0.04070670536255461,0.11850990362899708,0,0,1.0,False,1,2,Increasing,Increasing,0.06510051686945006,0.03008008008008023,0.5379483377783384,1
MAX_DPD_LAST_6_MONTHS_UNSECURED,MAX_DPD_LAST_6_MONTHS_UNSECURED_woe,"[1.0,inf)",373,0.10144139243948871,261,112,0.3002680965147453,0.5511869852729703,0.035882557632984285,0.04070670536255461,0.881490096371003,0,0,inf,False,2,2,Increasing,Increasing,0.06510051686945006,0.03008008008008023,0.5379483377783384,1
MAX_DPD_LAST_24_MONTHS_UNSECURED,MAX_DPD_LAST_24_MONTHS_UNSECURED_woe,"[-inf,2.0)",2996,0.8147946695675823,2439,557,0.18591455273698265,-0.0795696369880671,0.005035183594835485,0.024794745408721588,0.20307462374928648,0,0,2.0,False,1,2,Increasing,Increasing,0.06328021322493416,0.07152152152152169,0.1301944438639421,1
MAX_DPD_LAST_24_MONTHS_UNSECURED,MAX_DPD_LAST_24_MONTHS_UNSECURED_woe,"[2.0,inf)",681,0.18520533043241774,509,172,0.2525697503671072,0.31225498156349946,0.019759561813886103,0.024794745408721588,0.7969253762507135,0,0,inf,False,2,2,Increasing,Increasing,0.06328021322493416,0.07152152152152169,0.1301944438639421,1
PAYMENT_WITHOUT_DPD_LAST_9_MONTHS,PAYMENT_WITHOUT_DPD_LAST_9_MONTHS_woe,-99999.0,35,0.009518629317378298,24,11,0.3142857142857143,0.617049963750994,0.004287294382339072,0.0474665935683821,0.09032235220677128,0,0,-99999.0,True,1,3,Decreasing,Decreasing,0.07917529821896863,0.006256256256256032,0.9206949742766741,0
PAYMENT_WITHOUT_DPD_LAST_9_MONTHS,PAYMENT_WITHOUT_DPD_LAST_9_MONTHS_woe,"[-inf,0.9399999999999997)",468,0.1272776720152298,333,135,0.28846153846153844,0.4943408097585547,0.03570487606540443,0.0474665935683821,0.7522106260683461,0,0,0.9399999999999997,False,2,3,Decreasing,Decreasing,0.07917529821896863,0.006256256256256032,0.9206949742766741,0
PAYMENT_WITHOUT_DPD_LAST_9_MONTHS,PAYMENT_WITHOUT_DPD_LAST_9_MONTHS_woe,"[0.9399999999999997,inf)",3174,0.8632036986673919,2591,583,0.18367989918084435,-0.09440347291104845,0.007474423120638597,0.0474665935683821,0.1574670217248826,0,0,inf,False,3,3,Decreasing,Decreasing,0.07917529821896863,0.006256256256256032,0.9206949742766741,0
PAYMENT_WITHOUT_DPD_LAST_12_MONTHS,PAYMENT_WITHOUT_DPD_LAST_12_MONTHS_woe,-99999.0,43,0.011694316018493337,30,13,0.3023255813953488,0.5609604970999504,0.004294857558114117,0.042956107511195774,0.09998246598565141,0,0,-99999.0,True,1,3,Decreasing,Decreasing,0.08198159967093077,0.020670670670670743,0.747694256100732,1
PAYMENT_WITHOUT_DPD_LAST_12_MONTHS,PAYMENT_WITHOUT_DPD_LAST_12_MONTHS_woe,"[-inf,0.9399999999999996)",598,0.1626325809083492,436,162,0.2709030100334448,0.40716261318391883,0.030262500874366344,0.042956107511195774,0.7044982105624664,0,0,0.9399999999999996,False,2,3,Decreasing,Decreasing,0.08198159967093077,0.020670670670670743,0.747694256100732,1
