USER_ID,LOAN_ID,DISBURSED_DATE,BAD_FLAG,act_logodds,trx_logodds,br_logodds,comb_score,PD_score,Calib_PD
0363c93b-e4a1-440f-b354-e67f5bf2a7ce,22274,2022-07-18,0,-2.3060670777439163,-1.9827749900068636,-1.9701917371633157,-2.053231361804886,0.11372627713009319,0.048764385585432606
36243f21-b834-4b7d-a01a-973a842e98cf,5951,2022-05-06,0,-1.2185557710873984,-2.221927206889122,-0.1058940601583565,-1.3351815011681882,0.20830357574771213,0.2225054982341994
492614f0-1875-4d94-99e4-3d8550bfe4c6,22963,2022-07-06,0,-1.3252525462387361,-0.8802501588344533,-2.3656946812186153,-1.4430885098765285,0.1910675306963751,0.18100577064522227
8fdbb2e7-78f0-4ddc-90af-f3566f302aa7,5262,2022-04-30,0,-1.552120690934587,-1.3846154260290888,-0.4527414397150507,-1.1342607012000017,0.24337566095085414,0.31649092526017925
8f0b37e9-4412-463b-b2ab-cbdc52e44c1b,1377,2021-12-31,0,-1.1774135975877533,-1.1867065967734054,-0.9234218525748115,-1.1029509362591414,0.2491873862625506,0.33293004757431954
3a06ce66-7f1c-4073-87aa-334d41dc65c9,7023,2022-03-22,0,-1.2421213815995291,-2.413573468150807,-1.1655783081032025,-1.7572609886292558,0.14713371360772956,0.09432359682464475
d6b7f335-adeb-4e8c-8ac0-174ed964c76f,17408,2022-06-03,0,-1.257004342088437,-1.5668694774442895,-1.6285002030197282,-1.5147060212408294,0.18024240797074087,0.15695478452742856
02aecc09-a416-4c4a-9ec5-094891bca4fc,14566,2022-05-11,0,-1.1748314057890707,-2.2087434995536013,-1.9324044731672154,-1.8852786198079796,0.131783736060446,0.07119102123275027
2db875da-3f4f-43ff-9315-07d5b351d57a,15241,2022-05-16,0,-1.5460409416153635,-1.2060779046360015,-1.1208132366563757,-1.2578373560675709,0.2213464039708875,0.25618442796450513
a3c1c870-aada-42fe-89d3-ae66431156b9,18026,2022-06-08,0,-1.5955172454991315,-0.1255655208846847,-1.944679987406675,-1.0275799021678242,0.26355355954812015,0.3741489056539511
b0161eeb-b3d7-4b67-965c-6ed115443de5,16032,2022-05-31,0,-1.6618910529169835,-1.5819209456700103,-2.9876396437081567,-2.0360868667286396,0.11546579283210198,0.0507046336699036
3822255c-ad99-4524-8fc2-a831f549934e,16132,2022-06-06,1,-1.2326904819043343,-1.212075016399505,-1.1047752846038443,-1.183553656608961,0.23441384102527862,0.29152363152785793
3cfe760c-8ee3-46a3-a2c8-0a1381a8a4b6,34290,2022-07-29,0,-1.5446284016317389,-0.6904836532576762,-1.7041769495256556,-1.2011818672267842,0.23126503561935938,0.28288151897406927
