USER_ID,LOAN_ID,DISBURSED_DATE,BAD_FLAG,LAST_1_MONTH_CUSTOMERS,LAST_2_MONTH_CUSTOMERS,LAST_3_MONTH_CUSTOMERS,RATIO_OF_CUSTOMERS_ADDED_L1_L3_MNTH,DELETED_CUSTOMERS,LAST_1_MONTH_BOOKS,LAST_2_MONTH_BOOKS,LAST_3_MONTH_BOOKS,RATIO_OF_BOOKS_ADDED_L1_L3_MNTH,DELETED_BOOKS,TOTAL_APPS,BUSINESS_APPS,FINANCE_APPS,BUSINESS_TOTALAPPS_PROPORTION,FINANCE_TOTALAPPS_PROPORTION,DEVICE_CARRIER_GROUP,PRICE,BUSINESS_CARD_FLAG,pred_train1,logodds_score,Calib_PD,Act_pred
1600f513-17c0-4c45-9852-0bd0b4316c78,13186,16/04/22,0,1,1,1,1,5,0,0,0,,0,38,7,14,0.184211,0.368421,VI,29,,0.002161715,-6.1346893,0.025155328,0.062666667
e1638bf8-97e4-4f6c-8a20-9361fe94c841,19560,27/06/22,0,0,0,0,,,0,0,0,,0,47,6,21,0.12766,0.446809,AIRTEL,,,0.002180226,-6.126144,0.025225104,0.062666667
4464b830-3fbf-4f37-a14d-224fb0ef27eb,537,28/09/21,0,0,0,0,,,0,0,0,,0,,,,,,JIO,79,,0.002270735,-6.085378,0.025560573,0.083808845
4464b830-3fbf-4f37-a14d-224fb0ef27eb,12024,01/04/22,0,0,0,0,,,1,1,1,1,0,,,,,,JIO,79,,0.002270735,-6.085378,0.025560573,0.083808845
7c25e7aa-57c2-4fca-8f0f-bba5bd2f6117,812,07/10/21,0,9,15,20,0.45,0,0,0,0,,0,101,10,18,0.09901,0.178218,JIO,62,,0.002314199,-6.066375,0.025718436,0.062666667
d99c332e-12a1-4d44-ac00-d58f629d9163,1619,06/02/22,0,0,0,0,,0,0,0,0,,0,23,2,11,0.086957,0.478261,VI,22,,0.002374222,-6.0407085,0.025933155,0.062666667
42a776ae-7a89-4747-96ef-af4736b4355a,13746,28/04/22,0,2,4,4,0.5,56,0,0,0,,1,157,3,22,0.019108,0.140127,VI,75,,0.002469267,-6.001362,0.026265715,0.083808845
b1971939-e0c2-405b-ab76-8f26a1625699,13605,26/04/22,0,0,0,0,,31,0,0,0,,0,62,5,7,0.080645,0.112903,JIO,79,,0.002523796,-5.979464,0.02645259,0.062666667
f24c473d-f426-45c9-b491-d9e7e972cf90,11300,31/03/22,0,7,12,14,0.5,0,0,0,0,,0,29,3,11,0.103448,0.37931,JIO,15,,0.002569611,-5.9614277,0.026607482,0.062666667
4a76104c-8180-4b77-9649-c169f2ec56b3,1760,10/01/22,0,2,3,4,0.5,0,0,0,0,,0,69,12,26,0.173913,0.376812,JIO,15,,0.002617529,-5.9429035,0.026767482,0.062666667
