USER_ID,LOAN_ID,DISBURSED_DATE,BAD_FLAG,act_logodds,trx_logodds,br_logodds,Trx_PD,Act_PD,Br_PD,comb_score,PD_score,pred_train_bin,Calib_PD
8f057470-efaf-4180-805e-1aa7297a07b3,18374,2022-06-22,0,-2.4263716306398653,-2.5391277325628634,-4.140867667838233,0.0731602980013963,0.0811837068959818,0.0156599076261431,-3.031619958588376,0.0460176584767283,"(0.0428, 0.0501]",0.018710917988462705
18d5023f-78a0-44fd-b350-2345be3bf1a2,17432,2022-06-14,0,-2.5140080016769133,-3.5976513352250286,-2.9286043867223874,0.026657867208455605,0.07488198296207792,0.05075752510864289,-3.0300999754837603,0.04608443184987873,"(0.0428, 0.0501]",0.018787207673165204
95eb5c32-2497-4521-83a4-6b977c54f1fd,6766,2022-03-10,0,-2.986218034935239,-3.143341186106303,-2.950893096121796,0.04135445725995881,0.048052394244782394,0.0496943183131445,-3.0295539080366756,0.04610844328469599,"(0.0428, 0.0501]",0.018814689847831582
b9386f7d-91df-42ce-9bba-07e15d2143d2,22512,2022-06-23,0,-2.6099476486846402,-3.0535290185650106,-3.409118162576714,0.04506535997183209,0.0685009441111643,0.03201171167820191,-3.0289273977271547,0.04613600658324156,"(0.0428, 0.0501]",0.01884626907862721
e6722b14-29f5-4e72-86ff-419bce8b3c3c,1444,2022-02-09,0,-2.6617145715317494,-4.086582861054922,-2.258716407251197,0.016519068627905694,0.06527064874210228,0.09460025281527273,-3.0274290786522777,0.04620198868085516,"(0.0428, 0.0501]",0.01892200277456139
81f4edc9-7a35-4dcf-9b0f-6f93f5b7a889,15063,2022-05-16,0,-2.995150632851561,-3.183243106629359,-2.892901224947296,0.039801206769673,0.04764543282401141,0.0525055985635454,-3.027240694065383,0.046210291002920616,"(0.0428, 0.0501]",0.018931545916524448
d9a4bbd5-792d-4f4c-aa7c-957efff9be7a,14913,2022-05-13,0,-2.3904565966450955,-3.5915172221451033,-3.042671490029369,0.0268174934022879,0.0839033295851146,0.0455349227702355,-3.026058730386909,0.04626241388457747,"(0.0428, 0.0501]",0.018991529355483424
b0782999-a2a2-4886-8e76-bc829de93c1c,9506,2022-03-21,0,-2.2803734581907635,-2.870655815990442,-3.9132144398113624,0.05362336098095021,0.09276151928318742,0.0195849528506686,-3.0258098073554485,0.04627339815765962,"(0.0428, 0.0501]",0.01900418568128635
fc652e91-172e-49b1-82af-b6781822db64,14552,2022-05-09,0,-2.493936215051481,-3.6714295914178576,-2.8513968147179547,0.024808933885677804,0.0762843686932553,0.054609158984299,-3.024020894669649,0.046352410869572085,"(0.0428, 0.0501]",0.01909538537621079
65269785-2476-456d-834b-2d3b358678a4,1942,2022-01-31,0,-2.7224358149221786,-2.2737233501791727,-4.111791097605501,0.093322688905114,0.061662379124935024,0.016114483242967093,-3.023873695547623,0.04635891807418879,"(0.0428, 0.0501]",0.019102908744070828
7fc713bb-3f88-491e-801f-cbe6f43a6f80,18149,2022-06-14,0,-2.639871122331443,-3.5179884761839353,-2.8702257117597805,0.028804715007579505,0.0666160485283889,0.053645192056754894,-3.0232292106911665,0.046387418932342266,"(0.0428, 0.0501]",0.01913588268980585
4784c5b2-0a08-4cfc-a24e-31cf97aa2483,4446,2022-03-03,0,-2.2608819986807402,-4.254588743476052,-2.4564592340998077,0.014000141926691502,0.0944149304188858,0.07896747918760852,-3.023219847047392,0.04638783314074839,"(0.0428, 0.0501]",0.01913636217539998
9693bd2e-d108-4339-9235-eb3cfb98e204,5605,2022-03-08,0,-2.355127915019939,-3.706071382602525,-2.9457623884036686,0.023984483530609405,0.08665904059749578,0.0499371754845458,-3.022867504890475,0.046403421840462665,"(0.0428, 0.0501]",0.019154413180086403
b40f2ec9-a3c1-4393-9f83-d51606e3dac8,3628,2022-02-21,0,-2.6904483745919623,-3.9906676383506543,-2.318064314694352,0.0181517883481819,0.06353933388946119,0.089637891524851,-3.022638377141293,0.04641356183024359,"(0.0428, 0.0501]",0.01916616068740064
9fec1252-d298-4b09-bda5-91cfc526502d,17178,2022-06-01,0,-2.7583826400608396,-2.7486922485487506,-3.564565591721243,0.06016054956849481,0.05961497228120609,0.0275299281387433,-3.0210313770795416,0.04648473846363876,"(0.0428, 0.0501]",0.019248751214369315
e45e4e96-e269-4a5b-ace5-419aca6a03c9,14677,2022-05-11,0,-3.101431677344032,-3.777562170867325,-2.1403552564574206,0.022366683258191,0.0430482382686294,0.1052359334097572,-3.0209221311846024,0.04648958090849922,"(0.0428, 0.0501]",0.01925437847178863
cd3621cd-0b06-4ebc-b271-d45eaebb1756,9239,2022-05-09,0,-3.2018472954285087,-2.8625458610480448,-3.010996018691581,0.054036417170525604,0.039096264951019394,0.0469315746466428,-3.02011087207216,0.046525555879370066,"(0.0428, 0.0501]",0.01929621692574984
db6d85e9-0e71-4fcc-bbda-f7f7ec2be0c7,2382,2022-02-06,0,-2.484028556589744,-3.8294906590391466,-2.6796098558575783,0.021258917972551403,0.07698544990358581,0.0641873073249608,-3.0194821212054204,0.046553455805608546,"(0.0428, 0.0501]",0.019328704311340646
f488e563-7d17-43c9-960e-e0268ef2ee7d,1479,2021-12-31,0,-2.8155112463526453,-3.6773131473700427,-2.5186986716371385,0.024666987629585607,0.0564917101666936,0.0745576856132098,-3.019193762052617,0.04656625665542911,"(0.0428, 0.0501]",0.019343621678429436
356a48cd-c7a4-4dea-9170-8ade8b2847d3,2735,2022-02-11,0,-2.553649417557698,-3.442805983386623,-3.0163013337623332,0.030984126041664402,0.0721816964823933,0.046694842779234996,-3.0175293479453513,0.046640208842072504,"(0.0428, 0.0501]",0.01942994580460839
730310ea-fb7d-48d3-81f3-ff6c5a988653,2805,2022-02-17,0,-2.4121613064393945,-3.654855481693716,-2.927894640168658,0.025213092641439096,0.08225002463013971,0.0507917324539306,-3.0172962679090642,0.04665057381773326,"(0.0428, 0.0501]",0.019442064503911963
051d5334-7f21-4a82-82fe-f60ca4593b06,3262,2022-02-27,0,-2.8699979372354463,-3.967738869439715,-2.1476721937365477,0.018564978669262502,0.05365675674953411,0.1045489482481826,-3.015839768152304,0.0467153934107663,"(0.0428, 0.0501]",0.01951796132175272
