COL_MODULE,PSI_MONTH,PSI_VAR,PSI
BUREAU_MODULE,JUL-2022,MAX_DPD_LAST_6_MONTHS,0.09431333168061264
BUREAU_MODULE,JUL-2022,MAX_DPD_LAST_9_MONTHS,0.047663845334808934
BUREAU_MODULE,JUL-2022,MAX_DPD_LAST_12_MONTHS,0.035446082270372575
BUREAU_MODULE,JUL-2022,MAX_DPD_LAST_24_MONTHS,0.016274244941034344
BUREAU_MODULE,JUL-2022,MAX_DPD_LAST_1_MONTH_ACTIVE,0.0
BUREAU_MODULE,JUL-2022,MAX_DPD_LAST_3_MONTHS_ACTIVE,0.0
BUREAU_MODULE,JUL-2022,MAX_DPD_LAST_6_MONTHS_ACTIVE,0.0
BUREAU_MODULE,JUL-2022,MAX_DPD_LAST_9_MONTHS_ACTIVE,0.045462299371951356
BUREAU_MODULE,JUL-2022,MAX_DPD_LAST_12_MONTHS_ACTIVE,0.04311587453391496
BUREAU_MODULE,JUL-2022,MAX_DPD_LAST_24_MONTHS_ACTIVE,0.022257004278661174
BUREAU_MODULE,JUL-2022,NO_OF_TIMES_30_DPD_3MONTHS,0.0
BUREAU_MODULE,JUL-2022,NO_OF_TIMES_30_DPD_6MONTHS,0.12515556284475035
BUREAU_MODULE,JUL-2022,NO_OF_TIMES_30_DPD_9MONTHS,0.12812000655939526
BUREAU_MODULE,JUL-2022,NO_OF_TIMES_30_DPD_12MONTHS,0.09065005704922942
BUREAU_MODULE,JUL-2022,NO_OF_TIMES_30_DPD_3MONTHS_ACTIVE,0.0
BUREAU_MODULE,JUL-2022,NO_OF_TIMES_30_DPD_6MONTHS_ACTIVE,0.0
BUREAU_MODULE,JUL-2022,NO_OF_TIMES_30_DPD_9MONTHS_ACTIVE,0.045462299371951356
BUREAU_MODULE,JUL-2022,NO_OF_TIMES_30_DPD_12MONTHS_ACTIVE,0.05162024488538844
BUREAU_MODULE,JUL-2022,NO_OF_TIMES_60_DPD_3MONTHS,0.0
BUREAU_MODULE,JUL-2022,NO_OF_TIMES_60_DPD_6MONTHS,0.11104827750403275
BUREAU_MODULE,JUL-2022,NO_OF_TIMES_60_DPD_9MONTHS,0.10940519866798605
BUREAU_MODULE,JUL-2022,NO_OF_TIMES_60_DPD_12MONTHS,0.034787108810915575
BUREAU_MODULE,JUL-2022,NO_OF_TIMES_60_DPD_3MONTHS_ACTIVE,0.0
BUREAU_MODULE,JUL-2022,NO_OF_TIMES_60_DPD_6MONTHS_ACTIVE,0.0
BUREAU_MODULE,JUL-2022,NO_OF_TIMES_60_DPD_9MONTHS_ACTIVE,0.0
BUREAU_MODULE,JUL-2022,NO_OF_TIMES_60_DPD_12MONTHS_ACTIVE,0.04311587453391496
BUREAU_MODULE,JUL-2022,NO_OF_TIMES_90_DPD_3MONTHS,0.0
BUREAU_MODULE,JUL-2022,NO_OF_TIMES_90_DPD_6MONTHS,0.09431333168061264
BUREAU_MODULE,JUL-2022,NO_OF_TIMES_90_DPD_9MONTHS,0.06734478329842603
BUREAU_MODULE,JUL-2022,NO_OF_TIMES_90_DPD_12MONTHS,0.030907434190990454
BUREAU_MODULE,JUL-2022,NO_OF_TIMES_90_DPD_3MONTHS_ACTIVE,0.0
BUREAU_MODULE,JUL-2022,NO_OF_TIMES_90_DPD_6MONTHS_ACTIVE,0.0
BUREAU_MODULE,JUL-2022,NO_OF_TIMES_90_DPD_9MONTHS_ACTIVE,0.0
BUREAU_MODULE,JUL-2022,NO_OF_TIMES_90_DPD_12MONTHS_ACTIVE,0.0
BUREAU_MODULE,JUL-2022,MONTHS_SINCE_30_DPD,0.13513910986365862
BUREAU_MODULE,JUL-2022,MONTHS_SINCE_60_DPD,0.12740534369632103
BUREAU_MODULE,JUL-2022,MONTHS_SINCE_90_DPD,0.11831235073487062
BUREAU_MODULE,JUL-2022,MONTHS_SINCE_30_DPD_ACTIVE,0.10073090431797296
BUREAU_MODULE,JUL-2022,MONTHS_SINCE_60_DPD_ACTIVE,0.08588777441509807
BUREAU_MODULE,JUL-2022,MONTHS_SINCE_90_DPD_ACTIVE,0.0735109284510287
BUREAU_MODULE,JUL-2022,TOTALCAPSLAST7DAYS,0.0
BUREAU_MODULE,JUL-2022,TOTALCAPSLAST30DAYS,9.460876049986374e-05
BUREAU_MODULE,JUL-2022,TOTALCAPSLAST90DAYS,0.002527114372650225
BUREAU_MODULE,JUL-2022,TOTALCAPSLAST180DAYS,0.005671395930593876
BUREAU_MODULE,JUL-2022,CAPSLAST7DAYS,0.0
BUREAU_MODULE,JUL-2022,CAPSLAST30DAYS,9.460876049986374e-05
BUREAU_MODULE,JUL-2022,CAPSLAST90DAYS,0.002527114372650225
BUREAU_MODULE,JUL-2022,CAPSLAST180DAYS,0.005671395930593876
BUREAU_MODULE,JUL-2022,RESIDENCE_CODE_NON_NORMALIZED,0.0
BUREAU_MODULE,JUL-2022,AGE_OF_OLDEST_ACCOUNT_DAYS,0.0333327931344858
BUREAU_MODULE,JUL-2022,ACCOUNT_OPEN_1MONTH,0.0
BUREAU_MODULE,JUL-2022,ACCOUNT_OPEN_2MONTHS,0.00031782060432332285
BUREAU_MODULE,JUL-2022,ACCOUNT_OPEN_3MONTHS,0.003284083194863358
BUREAU_MODULE,JUL-2022,ACCOUNT_OPEN_6MONTHS,0.007944365033092853
BUREAU_MODULE,JUL-2022,ACCOUNT_OPEN_12MONTHS,0.013688531632767469
BUREAU_MODULE,JUL-2022,MAX_DPD_LAST_1_MONTH_SECURED,0.0
BUREAU_MODULE,JUL-2022,MAX_DPD_LAST_3_MONTHS_SECURED,0.0
BUREAU_MODULE,JUL-2022,MAX_DPD_LAST_6_MONTHS_SECURED,0.0
BUREAU_MODULE,JUL-2022,MAX_DPD_LAST_9_MONTHS_SECURED,0.0
BUREAU_MODULE,JUL-2022,MAX_DPD_LAST_12_MONTHS_SECURED,0.0424559100694514
BUREAU_MODULE,JUL-2022,MAX_DPD_LAST_24_MONTHS_SECURED,0.011241820868597057
BUREAU_MODULE,JUL-2022,MAX_DPD_LAST_1_MONTH_UNSECURED,0.0
BUREAU_MODULE,JUL-2022,MAX_DPD_LAST_3_MONTHS_UNSECURED,0.0
BUREAU_MODULE,JUL-2022,MAX_DPD_LAST_6_MONTHS_UNSECURED,0.07408154900726432
BUREAU_MODULE,JUL-2022,MAX_DPD_LAST_9_MONTHS_UNSECURED,0.025141780775917652
BUREAU_MODULE,JUL-2022,MAX_DPD_LAST_12_MONTHS_UNSECURED,0.01381077692910198
BUREAU_MODULE,JUL-2022,MAX_DPD_LAST_24_MONTHS_UNSECURED,0.010048163454803279
BUREAU_MODULE,JUL-2022,PAYMENT_WITHOUT_DPD_LAST_1_MONTH,0.002626351222008057
BUREAU_MODULE,JUL-2022,PAYMENT_WITHOUT_DPD_LAST_3_MONTHS,0.09061273025294778
BUREAU_MODULE,JUL-2022,PAYMENT_WITHOUT_DPD_LAST_6_MONTHS,0.11593002885310398
BUREAU_MODULE,JUL-2022,PAYMENT_WITHOUT_DPD_LAST_9_MONTHS,0.05069714369783623
BUREAU_MODULE,JUL-2022,PAYMENT_WITHOUT_DPD_LAST_12_MONTHS,0.0395754858071337
