USER_ID,LOAN_ID,DISBURSED_DATE,BAD_FLAG,act_logodds,trx_logodds,br_logodds,Trx_PD,Act_PD,Br_PD,comb_score,PD_score,pred_train_bin,Calib_PD
c564e9ab-18fe-4297-b58f-8a81bc5c5a9a,16276,2022-05-31,0,-2.391686482965776,-3.634686226937331,-2.2197645762197693,0.0257135760460046,0.083808844507842,0.09798961088225647,-2.708247640898555,0.062488432261190725,"(0.0589, 0.0647]",0.04364931172721246
7d3249df-757b-44eb-ad5b-837d6c7630e1,19423,2022-06-15,0,-2.7052092901006586,-2.174825194941865,-3.1227409244380877,0.10203408426152831,0.0626666666666636,0.04217889987390291,-2.707802874336404,0.06251449337087192,"(0.0589, 0.0647]",0.043700510921458185
9002fe36-042e-4121-baf2-afb5efc0582d,15068,2022-05-13,0,-2.7052092901006586,-2.174825194941865,-3.1227409244380877,0.10203408426152831,0.0626666666666636,0.04217889987390291,-2.707802874336404,0.06251449337087192,"(0.0589, 0.0647]",0.043700510921458185
d8171ef6-d093-42b9-b16a-2df97e756498,2035,2022-02-06,0,-2.7052092901006586,-2.6902701566908047,-2.72311119273766,0.0635499390514054,0.0626666666666636,0.06162331324333279,-2.7077389197984045,0.0625182416229934,"(0.0589, 0.0647]",0.04370787774382253
3895dd4b-42f1-448c-b4ed-22a3c78bd206,1834,2022-01-24,0,-2.391686482965776,-3.7391853803996025,-2.136003486441398,0.023221408314870896,0.083808844507842,0.1056464063827802,-2.7071379425605104,0.06255347398738874,"(0.0589, 0.0647]",0.043777161279027574
c692d156-bb0e-4b7e-8881-786845d2f5ce,16018,2022-05-24,0,-2.391686482965776,-3.7391853803996025,-2.135906690542506,0.023221408314870896,0.083808844507842,0.10565555251594519,-2.7070992242009537,0.06255574449123595,"(0.0589, 0.0647]",0.0437816285085212
73ac8787-bec2-4bb7-8adb-12ab78017d89,7213,2022-05-30,0,-2.7052092901006586,-2.29453815692873,-3.026896729203672,0.09157631981690231,0.0626666666666636,0.046225453586350405,-2.706576214458566,0.0625864221202138,"(0.0589, 0.0647]",0.043842014730227995
db0b9609-201e-42b3-8b42-138e66c7fb44,10428,2022-03-29,0,-2.7052092901006586,-2.29453815692873,-3.026896729203672,0.09157631981690231,0.0626666666666636,0.046225453586350405,-2.706576214458566,0.0625864221202138,"(0.0589, 0.0647]",0.043842014730227995
db9b35a4-1696-4bc3-8aa6-b6532b12362d,13123,2022-04-16,0,-2.7052092901006586,-2.29453815692873,-3.026896729203672,0.09157631981690231,0.0626666666666636,0.046225453586350405,-2.706576214458566,0.0625864221202138,"(0.0589, 0.0647]",0.043842014730227995
3c339d67-c2b4-4d4b-aa9c-5b44e154c3fb,16351,2022-05-31,0,-2.7052092901006586,-2.29453815692873,-3.026896729203672,0.09157631981690231,0.0626666666666636,0.046225453586350405,-2.706576214458566,0.0625864221202138,"(0.0589, 0.0647]",0.043842014730227995
102fbbad-1339-49a0-8c09-26b64679980b,3704,2022-02-24,0,-2.7052092901006586,-2.29453815692873,-3.026896729203672,0.09157631981690231,0.0626666666666636,0.046225453586350405,-2.706576214458566,0.0625864221202138,"(0.0589, 0.0647]",0.043842014730227995
a8e02c90-6060-4eb4-9611-07411f9a5969,18740,2022-06-16,1,-2.7052092901006586,-2.29453815692873,-3.026896729203672,0.09157631981690231,0.0626666666666636,0.046225453586350405,-2.706576214458566,0.0625864221202138,"(0.0589, 0.0647]",0.043842014730227995
a68aa993-64ee-40ea-96e5-46093f65cc06,16323,2022-06-02,0,-2.7052092901006586,-2.9398629650032784,-2.522890502469558,0.05021780880595709,0.0626666666666636,0.07426896947431978,-2.7050244142680304,0.0626775270689634,"(0.0589, 0.0647]",0.04402165217634988
accb0af7-55ee-49d9-b27b-46ba57bbc912,14866,2022-05-17,0,-2.7052092901006586,-2.9398629650032784,-2.522890502469558,0.05021780880595709,0.0626666666666636,0.07426896947431978,-2.7050244142680304,0.0626775270689634,"(0.0589, 0.0647]",0.04402165217634988
2007d809-a78d-4c16-b3af-8ab80ac8e539,14538,2022-06-10,0,-2.7052092901006586,-2.9398629650032784,-2.522890502469558,0.05021780880595709,0.0626666666666636,0.07426896947431978,-2.7050244142680304,0.0626775270689634,"(0.0589, 0.0647]",0.04402165217634988
230ec1d0-b09c-4ec1-bd6b-aa001053e208,4465,2022-06-07,0,-2.7052092901006586,-2.8046867050523554,-2.6272669975032437,0.057071440004926303,0.0626666666666636,0.0674040461673776,-2.704870371696719,0.06268657753408508,"(0.0589, 0.0647]",0.04403952251128803
8e4d0fbb-01b4-40ce-9f99-10f9383e583a,13578,2022-04-21,0,-2.7052092901006586,-2.174825194941865,-3.1139503025875612,0.10203408426152831,0.0626666666666636,0.04253547233377851,-2.7042866255961937,0.0627208854436604,"(0.0589, 0.0647]",0.044107305170942
4b242512-271b-4940-aeca-da437cfd6a75,13161,2022-05-05,0,-2.7052092901006586,-2.174825194941865,-3.110095004664711,0.10203408426152831,0.0626666666666636,0.04269276120047939,-2.7027445064270537,0.06281160312246811,"(0.0589, 0.0647]",0.044286849931227314
2a1ab5b2-077e-47e2-8074-e1e3f2e3241d,21512,2022-06-22,0,-2.391686482965776,-3.7391853803996025,-2.1232607707691296,0.023221408314870896,0.083808844507842,0.10685646932884738,-2.7020408562916036,0.06285303715094634,"(0.0589, 0.0647]",0.04436900539342653
d17a141d-33b2-452d-88ad-75c96c6d10c6,21862,2022-06-21,0,-2.7052092901006586,-2.2793243484041366,-3.026896729203672,0.09284984675521579,0.0626666666666636,0.046225453586350405,-2.701859933815942,0.06286369478589643,"(0.0589, 0.0647]",0.044390152676435576
c943e83a-0a19-4ab6-adb9-cf9fccfad107,1371,2021-12-29,0,-2.7052092901006586,-2.2793243484041366,-3.026896729203672,0.09284984675521579,0.0626666666666636,0.046225453586350405,-2.701859933815942,0.06286369478589643,"(0.0589, 0.0647]",0.044390152676435576
6dd1454a-d772-4dd6-a015-a46272e6afae,5725,2022-03-08,0,-2.7052092901006586,-2.2793243484041366,-3.026896729203672,0.09284984675521579,0.0626666666666636,0.046225453586350405,-2.701859933815942,0.06286369478589643,"(0.0589, 0.0647]",0.044390152676435576
